player_name,player_age,pace,shooting,dribbling,passing,physical,defending
ErlingHaaland,25,88,93,80,66,88,45
MohamedSalah,33,88,90,88,82,75,45
BukayoSaka,24,82,80,85,80,68,55
ColePalmer,24,78,84,87,83,64,45
SonHeungMin,33,88,87,86,80,68,42
KevinDeBruyne,35,71,86,87,93,77,64
BrunoFernandes,31,72,84,85,90,72,62
DeclanRice,26,72,68,78,84,82,84
Rodri,29,62,72,84,90,80,86
VirgilVanDijk,34,78,60,68,74,86,90
WilliamSaliba,24,80,45,65,73,82,87
TrentAlexanderArnold,27,78,64,79,91,68,72
Alisson,32,50,20,42,68,80,20
Ederson,32,55,25,55,80,78,20
MartinOdegaard,26,73,78,88,88,60,58
PhilFoden,25,80,83,88,84,64,48
AlexanderIsak,26,86,86,84,72,75,38
OllieWatkins,29,86,84,80,72,78,44
MoisesCaicedo,24,76,62,78,80,80,82
JamesMaddison,28,72,80,86,86,62,48
